company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_name_en,company_name_full_en,company_url,company_type,e_status,e_sort
231,99,福岡市交通局,フクオカシコウツウキョク,福岡市交通局,福岡市交通局,Fukuoka City Transportation Bureau,Fukuoka City Transportation Bureau,http://subway.city.fukuoka.lg.jp/,0,0,229
232,99,北九州高速鉄道,キタキュウシュウコウソクテツドウ,北九州高速鉄道株式会社,北九州モノレール,Kitakyushu Urban Monorail,Kitakyushu Urban Monorail,http://www.kitakyushu-monorail.co.jp/,0,0,230
233,99,筑豊電気鉄道,チクホウデンキテツドウ,筑豊電気鉄道株式会社,筑鉄,Chikuho Electric Railroad,Chikuho Electric Railroad,http://www.chikutetsu.co.jp/,0,0,231
234,99,松浦鉄道,マツウラテツドウ,松浦鉄道株式会社,松浦鉄道,Matsuura Railway,Matsuura Railway,http://www.matutetu.com/,0,0,232
235,99,島原鉄道,シマバラテツドウ,島原鉄道株式会社,島原鉄道,Shimabara Railway,Shimabara Railway,http://www.shimatetsu.co.jp/,0,0,233
236,99,長崎電気軌道,ナガサキデンキキドウ,長崎電気軌道株式会社,長崎電気軌道,Nagasaki Electric Tramway,Nagasaki Electric Tramway,http://www.naga-den.com/,0,0,234
237,99,熊本電気鉄道,クマモトデンキテツドウ,熊本電気鉄道株式会社,熊本電気鉄道,Kumamoto Electric Railway,Kumamoto Electric Railway,http://www.kumamotodentetsu.co.jp/,0,0,235
238,99,南阿蘇鉄道,ミナミアソテツドウ,南阿蘇鉄道株式会社,南阿蘇鉄道,Minami Aso Railway,Minami Aso Railway,http://www.mt-torokko.com/,0,0,236
239,99,くま川鉄道,クマガワテツドウ,くま川鉄道株式会社,くま川鉄道,Kumagawa Rail Road,Kumagawa Rail Road,http://www.kumagawa-rail.com/,0,0,237
240,99,肥薩おれんじ鉄道,ヒサツオレンジテツドウ,肥薩おれんじ鉄道株式会社,肥薩おれんじ鉄道,Hisatsu Orange Railway,Hisatsu Orange Railway,http://www.hs-orange.com/,0,0,238
241,99,熊本市交通局,クマモトシコウツウキョク,熊本市交通局,熊本市交通局,Kumamoto City Transportation Bureau,Kumamoto City Transportation Bureau,http://www.kotsu-kumamoto.jp/,0,0,239
242,99,鹿児島市交通局,カゴシマコウツウキョク,鹿児島市交通局,鹿児島市交通局,Kagoshima City Transportation Bureau,Kagoshima City Transportation Bureau,http://www.kotsu-city-kagoshima.jp/,0,0,240
243,99,沖縄都市モノレール,オキナワトシモノレール,沖縄都市モノレール株式会社,ゆいレール,Yui Rail,Okinawa Urban Monorail,http://www.yui-rail.co.jp/,0,0,241
