station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100714,1121618,山形,ヤマガタ,Yamagata,山形,야마가타,,,,,1007,6,990-0039,山形県山形市香澄町一丁目1-1,140.327536,38.248645,1901-04-11,0000-00-00,0,100714
100715,1121624,天童,テンドウ,Tendō,天童,덴도,,,,,1007,6,994-0034,山形県天童市本町一丁目1-1,140.369612,38.36002,1901-08-23,0000-00-00,0,100715
100716,1121627,さくらんぼ東根,サクランボヒガシネ,Sakurambohigashine,樱桃东根,사쿠란보히가시네,,,,,1007,6,999-3720,山形県東根市さくらんぼ駅前一丁目1-1,140.381055,38.428363,1999-12-04,0000-00-00,0,100716
100717,1121629,村山,ムラヤマ,Murayama,村山,무라야마,,,,,1007,6,995-0033,山形県村山市楯岡新町一丁目10-1,140.386355,38.477153,1901-08-23,0000-00-00,0,100717
100718,1121631,大石田,オオイシダ,Oishida,大石田,오이시다,,,,,1007,6,999-4111,山形県北村山郡大石田町大字大石田乙585,140.375269,38.595724,1901-10-21,0000-00-00,0,100718
100719,1120201,新庄,シンジョウ,Shinjō,新庄,신조,,,,,1007,6,996-0024,山形県新庄市多門町1-1,140.305792,38.762249,1903-06-11,0000-00-00,0,100719
100801,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1008,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,3,100801
100802,1130220,上野,ウエノ,Ueno,上野,우에노,,,,UEN,1008,13,110-0005,東京都台東区上野七丁目1-1,139.777254,35.713768,1883-07-28,0000-00-00,3,100802
100803,1131906,大宮,オオミヤ,Ōmiya,大宫,오미야,,,,OMY,1008,11,330-0853,埼玉県さいたま市大宮区錦町630,139.624,35.906206,1885-03-16,0000-00-00,3,100803
100804,1131918,小山,オヤマ,Oyama,小山,오야마,,,,,1008,9,323-0025,栃木県小山市城山町三丁目3-22,139.80685,36.3142,0000-00-00,0000-00-00,3,100804
100805,1131923,宇都宮,ウツノミヤ,Utsunomiya,宇都宮,우쓰노미야,,,,,1008,9,321-0965,栃木県宇都宮市川向町1-23,139.898283,36.558701,0000-00-00,0000-00-00,3,100805
100806,1131932,那須塩原,ナスシオバラ,Nasushiobara,那须盐原,나스시오바라,,,,,1008,9,329-3153,栃木県那須塩原市大原間555,140.020514,36.931772,0000-00-00,0000-00-00,3,100806
